filename,y_min,y_max,x_min,x_max,height,width,size
cr1_0001p_00001.cbf,532,563,271,314,31,43,1333
cr1_0001p_00002.cbf,532,563,271,315,31,44,1364
cr1_0001p_00003.cbf,532,563,273,317,31,44,1364
cr1_0001p_00004.cbf,532,562,276,319,30,43,1290
cr1_0001p_00005.cbf,532,562,276,318,30,42,1260
cr1_0001p_00006.cbf,532,562,274,317,30,43,1290
cr1_0001p_00007.cbf,532,563,273,316,31,43,1333
cr1_0001p_00008.cbf,532,563,273,316,31,43,1333
cr1_0002p_00001.cbf,532,563,274,317,31,43,1333
cr1_0002p_00002.cbf,532,563,273,316,31,43,1333
cr1_0002p_00003.cbf,532,563,273,316,31,43,1333
cr1_0002p_00004.cbf,532,563,273,315,31,42,1302
cr1_0002p_00005.cbf,532,563,273,315,31,42,1302
cr1_0002p_00006.cbf,532,563,273,315,31,42,1302
cr1_0002p_00007.cbf,532,562,273,316,30,43,1290
cr1_0002p_00008.cbf,532,562,273,317,30,44,1320
cr1_0003p_00001.cbf,532,562,275,318,30,43,1290
cr1_0003p_00002.cbf,532,563,273,316,31,43,1333
cr1_0003p_00003.cbf,532,562,272,316,30,44,1320
cr1_0003p_00004.cbf,532,562,272,315,30,43,1290
cr1_0003p_00005.cbf,532,562,272,315,30,43,1290
cr1_0003p_00006.cbf,532,562,272,315,30,43,1290
cr1_0003p_00007.cbf,532,562,272,315,30,43,1290
cr1_0003p_00008.cbf,532,562,273,316,30,43,1290
cr1_0004p_00001.cbf,532,562,275,318,30,43,1290
cr1_0004p_00002.cbf,532,562,274,316,30,42,1260
cr1_0004p_00003.cbf,532,562,273,315,30,42,1260
cr1_0004p_00004.cbf,532,562,272,314,30,42,1260
cr1_0004p_00005.cbf,532,562,271,313,30,42,1260
cr1_0004p_00006.cbf,532,562,272,314,30,42,1260
cr1_0004p_00007.cbf,532,562,273,314,30,41,1230
cr1_0004p_00008.cbf,532,562,274,316,30,42,1260
cr1_0005p_00001.cbf,532,562,276,318,30,42,1260
cr1_0005p_00002.cbf,532,562,274,316,30,42,1260
cr1_0005p_00003.cbf,532,562,273,315,30,42,1260
cr1_0005p_00004.cbf,532,562,272,314,30,42,1260
cr1_0005p_00005.cbf,532,562,272,313,30,41,1230
cr1_0005p_00006.cbf,532,562,272,314,30,42,1260
cr1_0005p_00007.cbf,532,562,273,315,30,42,1260
cr1_0005p_00008.cbf,532,562,274,316,30,42,1260
cr1_0006p_00001.cbf,532,562,277,318,30,41,1230
cr1_0006p_00002.cbf,531,562,275,316,31,41,1271
cr1_0006p_00003.cbf,532,562,274,315,30,41,1230
cr1_0006p_00004.cbf,532,562,273,314,30,41,1230
cr1_0006p_00005.cbf,532,562,272,313,30,41,1230
cr1_0006p_00006.cbf,532,562,272,314,30,42,1260
cr1_0006p_00007.cbf,532,562,274,315,30,41,1230
cr1_0006p_00008.cbf,532,562,275,316,30,41,1230
cr1_0007p_00001.cbf,532,562,277,318,30,41,1230
cr1_0007p_00002.cbf,532,562,275,317,30,42,1260
cr1_0007p_00003.cbf,532,562,274,316,30,42,1260
cr1_0007p_00004.cbf,532,562,273,314,30,41,1230
cr1_0007p_00005.cbf,532,562,272,314,30,42,1260
cr1_0007p_00006.cbf,532,562,272,314,30,42,1260
cr1_0007p_00007.cbf,532,562,273,315,30,42,1260
cr1_0007p_00008.cbf,532,562,275,317,30,42,1260
cr1_0008p_00001.cbf,532,562,276,318,30,42,1260
cr1_0008p_00002.cbf,532,562,275,317,30,42,1260
cr1_0008p_00003.cbf,532,562,274,316,30,42,1260
cr1_0008p_00004.cbf,532,561,274,315,29,41,1189
cr1_0008p_00005.cbf,532,561,272,315,29,43,1247
cr1_0008p_00006.cbf,532,562,272,314,30,42,1260
